country,total_earnings,total_players,year,iso,code,pbicap,internet,desempleo,elect_acc,movil,poblacion,pea,net_mig,life_exp,CPI,gdp_gr,inflacion
Malaysia,473.4,3,2002-01-01,MY,458,4177.10494176499,32.33820434,3.48,98.6470489501953,37.49827327,24142445.0,15167661.0,224999.0,73.563,,2.77207357675051,3.12888319863409
Israel,300.0,1,2002-01-01,IL,376,19035.1024144493,17.76459906,12.89,100.0,99.10827833,6570000.0,4083292.0,20672.0,79.4512195121951,,-2.10585518337876,4.75981737527135
Bulgaria,50.0,1,2002-01-01,BG,100,2092.98288625558,9.08,18.11,89.1090240478516,32.5719108,7837161.0,5327942.0,-6134.0,71.8658536585366,,8.19521483076812,3.84838024147479
Sweden,397386.92,108,2003-01-01,SE,752,37321.7979047059,79.13,5.55,100.0,98.20893943,8958229.0,5818303.0,33445.0,80.0951219512195,,1.92983038350924,1.70023943467432
"Korea, Republic of",333406.37,98,2003-01-01,KR,0,14672.8057539465,65.5,3.35,100.0,70.6603768,47892330.0,34297010.0,-22385.0,77.2146341463415,,2.6140398272664,3.44999346268816
United States,274974.26,192,2003-01-01,US,840,39490.2749557007,61.69711712,5.99,100.0,55.18089359,290107933.0,193588057.0,1074728.0,77.0365853658537,,1.91648045091225,1.97359931687618
Germany,240014.77,67,2003-01-01,DE,276,30310.3575963774,55.9,9.78,100.0,79.65893192,82534176.0,55504907.0,54381.0,78.3804878048781,,-0.755077166602604,1.32125352370875
Norway,73150.51,8,2003-01-01,NO,578,50250.3298214345,78.13,4.22,100.0,88.95247425,4564855.0,2980551.0,11447.0,79.390243902439,,0.354567463257808,2.86082328613723
Russian Federation,62292.2,105,2003-01-01,RU,643,2975.123046875,8.298860616,8.21,97.9336853027344,24.98783944,144648618.0,102502717.0,241147.0,65.0275609756098,,7.78796752390349,13.6571368113275
France,46654.67,33,2003-01-01,FR,250,29627.92426353,36.14,8.31,100.0,69.81954372,62256970.0,40511430.0,148696.0,79.1146341463415,,0.109402978570955,1.85936824410877
Netherlands,43592.42,15,2003-01-01,NL,528,35750.9746630269,64.35,3.59,100.0,81.84737461,16225302.0,10973804.0,13122.0,78.4926829268293,,-0.315789835146461,2.17027931585601
United Kingdom,40658.36,25,2003-01-01,GB,826,34442.6875402308,64.82,4.81,100.0,90.95792762,59647577.0,39224731.0,230387.0,78.4463414634146,,2.66739616621786,2.39277613949882
Bulgaria,37558.38,7,2003-01-01,BG,100,2719.49436859287,12.04,13.73,89.6117477416992,44.21550847,7775327.0,5305099.0,-4527.0,72.0658536585366,,6.07406235889275,2.18941022702408
China,33150.0,21,2003-01-01,CN,156,1288.63749136212,6.2,4.58,97.4471893310547,20.94488156,1288400000.0,908333176.0,-527837.0,73.371,,9.35477664751414,2.60317771538053
Spain,30102.92,29,2003-01-01,ES,724,21510.8362454011,39.93,11.28,100.0,88.13545118,42187645.0,28929865.0,662840.0,79.619512195122,,1.13629398955948,3.93350333888964
